"Station","lon","lat"
"25 York St",-79.3809606,43.6434855
"51 Parliament St",-79.3625503,43.651702
"Augusta Ave / Dundas St",-79.4011044,43.6522676
"Bathurst / Queens Quay",-79.398422,43.6357028
"Bathurst St / Dundas St",-79.4060126,43.6522958
"Bay St / Albert St",-79.382633,43.652962
"Bay St / Bloor St",-79.3894773,43.6697157
"Bay St / College St",-79.3858556,43.6608355
"Bay St / St Joseph St",-79.3876771,43.6656458
"Bay St / Wellesley St",-79.3871427,43.664355
"Beverly St / Dundas St",-79.3938243,43.653814
"Bloor St / Brunswick Ave",-79.4074539,43.6659156
"Bond St / Queen St",-79.3769128,43.6529167
"Bremner / Spadina",-79.392866,43.6405619
"Bremner Blvd / Rees St",-79.3877424,43.6408931
"Church St / Alexander St",-79.3800945,43.6636798
"Church St / Bloor St",-79.3831411,43.6710294
"Church St/ Monteith St",-79.3813989,43.6668335
"College Park South",-79.3848314,43.6595671
"College St / Borden St",-79.4051588,43.656965
"College St / Huron St",-79.3981902,43.6582708
"College St / Major St",-79.402765,43.6574332
"Dockside Dr / Queens Quay",-79.3655624,43.6451302
"Dundas St / Parliament St",-79.3659956,43.6594276
"Dundas St / Yonge St",-79.380903,43.656325
"Edward St / Yonge St",-79.3811971,43.6570179
"Elizabeth St / Edward St",-79.3854753,43.656114
"Euclid Ave / Bloor St",-79.4148618,43.664332
"Ferry Ramp / Queens Quay",-79.3757241,43.6404124
"Front St / Blue Jays Way",-79.3912575,43.6434252
"Front/Yonge",-79.3769334,43.6468244
"Gerrard St / Church St",-79.3785154,43.6598622
"Gould St / Mutual St",-79.3763397,43.658524
"Huron/ Harbord St",-79.4000499,43.663502
"Jarvis St / Carlton St",-79.3767079,43.66242
"Jarvis St / Isabella St",-79.3794158,43.668869
"King St / Jarvis St",-79.3718947,43.6504548
"King St / Bay St",-79.3802583,43.6486507
"King St / Spadina Ave",-79.3948952,43.6454878
"Lower Jarvis St / The Esplanade",-79.3709183,43.6482109
"Lower Simcoe St / Lakeshore Blvd",-79.383324,43.640616
"Madison Ave / Bloor St",-79.4026884,43.6669032
"Metro Hall Plaza",-79.388966,43.6460888
"Navy Wharf Ct / Bremner Blvd",-79.3915459,43.6407935
"Niagara St / Richmond St",-79.4094564,43.6450333
"Parliament St / Gerrard St",-79.3670251,43.6619478
"Phoebe St / Spadina Ave",-79.396782,43.6500757
"Princess Ave / Adelaide St",-79.3908922,43.6477128
"Queen St / Ossington Ave",-79.4188508,43.644171
"Queen St / Portland St",-79.4014195,43.647714
"Queen St / Shaw St",-79.4162787,43.6447019
"Queen St / Spadina Ave",-79.3962577,43.648767
"Queens Park / Bloor St",-79.3941264,43.6687003
"Queens Quay / Dan Leckie Way",-79.3966766,43.6366169
"Richmond St / Jarvis St",-79.3728309,43.6527421
"Scott St / The Esplanade",-79.3752547,43.6463115
"Sherbourne / Carlton",-79.3730555,43.6631932
"Sherbourne St / Wellesley St",-79.3746546,43.6670726
"Simcoe St / Dundas St",-79.3892019,43.6546762
"Simcoe St / Queen St",-79.3874351,43.6506493
"Simcoe St / Wellington St",-79.3855226,43.6460702
"Spadina Ave / Sussex Ave",-79.4028207,43.6646188
"St George St / Bloor St",-79.3998186,43.6675177
"Ted Rogers Way",-79.3803642,43.6711443
"Temperance St / Yonge St",-79.3786883,43.6510529
"Trinity St/ Front St",-79.3603354,43.6520867
"University Ave / College St",-79.390349,43.659884
"University Ave / Elm St",-79.388809,43.656355
"University Ave / Gerrard St",-79.389626,43.65753
"University Ave / King St",-79.3848122,43.6476597
"Wellesley St / Yonge St",-79.3845625,43.664929
"Wellesley/Queen's Park",-79.3923284,43.6643658
"Wellington St / Portland St",-79.3994801,43.6430181
"Wellington St / Bay St",-79.3797062,43.6473313
"Widmer St / Adelaide St",-79.3915765,43.6475685
"Willcocks St / St George St",-79.397606,43.66208
"Yonge St / Lakeshore Ave",-79.3758867,43.6442054
"York St / Queens Quay",-79.3801292,43.640073
"Dundas St/ Broadview St",-79.3513456,43.6624391
"Union Station",-79.3806,43.645195
"161 Bleecker St",-79.373235,43.666595
"424 Wellington St",-79.3966495,43.6438342
"80 Clinton St",-79.4146634,43.6562963
"Augusta Ave / Denison Sq",-79.4017521,43.6538727
"Base Station",-79.3831843,43.653226
"Bathurst St / Fort York Blvd",-79.4006555,43.6388818
"Bathurst St / Lennox St",-79.4106835,43.6638315
"Bathurst St / Queens Quay",-79.398422,43.6357028
"Bathurst Subway Station",-79.4112152,43.6660011
"Bay St / Davenport Rd",-79.3906658,43.6730853
"Bay St / Queens Quay",-79.3768565,43.6411952
"Beverly St / College St",-79.3958657,43.6587134
"Bloor GO / UP Station/ Rail Path",-79.4508945,43.6580286
"Bloor St / Christie St",-79.4184063,43.6635591
"Bloor St / Dundas St",-79.5321603,43.6426108
"Boston Ave / Queen St",-79.3387986,43.6613414
"Bremner Blvd / Spadina Ave",-79.392866,43.6405619
"Bridgeman Ave / Bathurst St",-79.4148223,43.6743307
"Bridgeman Ave / Kendal Ave",-79.4098212,43.6754816
"Cariboo St / Rail Path",-79.4583445,43.6666942
"Carlton St / Parliament St",-79.3680473,43.6644661
"Castle Frank Station",-79.3688194,43.6736049
"Central Tech",-79.4089326,43.6631181
"Cherry St / Distillery Ln",-79.3569845,43.6503677
"Cherry St / Mill St",-79.3573594,43.6513499
"Chester Station",-79.3524545,43.6782356
"Christie St / Benson Ave",-79.4250214,43.6799794
"Church St / Wood St",-79.3797312,43.6628044
"Claremont St / Dundas St",-79.4115844,43.6511693
"College St / Crawford St",-79.4190145,43.6551585
"College St / Markham St",-79.4089327,43.6562169
"Danforth Ave / Aldridge Ave",-79.3171844,43.6847323
"Danforth Ave / Barrington Ave",-79.3005649,43.6884404
"Danforth Ave / Coxwell Ave",-79.3235888,43.6833563
"Danforth Ave / Ellerbeck St",-79.356409,43.676679
"Danforth Ave / Gough Ave",-79.3461056,43.6786924
"Danforth Ave / Lamb Ave",-79.3293481,43.6821189
"Danforth Ave / Westlake Ave",-79.3052146,43.6874331
"Davenport Rd / Avenue Rd",-79.3965732,43.6746978
"Davenport Rd / Bathurst St",-79.4157557,43.6766965
"Davenport Rd / Bedford Rd",-79.3998092,43.6743644
"Davenport Rd / Christie St",-79.4230446,43.6755784
"Donlands Station",-79.3378352,43.6809818
"Dufferin St / Bloor St",-79.4353285,43.6598576
"Dufferin St / Sylvan Av",-79.4333472,43.6546692
"Dundas St / Broadview Ave",-79.3513456,43.6624391
"Dundas St / Regent Park Blvd",-79.3618038,43.6603557
"Dundas St / Crawford St",-79.4170615,43.6500648
"Dundas St / Edna Ave",-79.4526928,43.657274
"Dundonald St / Church St",-79.3813459,43.6667003
"East Liberty St / Pirandello St",-79.4139607,43.6386723
"Essex St / Christie St",-79.4202547,43.6683553
"Exhibition GO",-79.4187734,43.6358793
"Fort York Blvd / Capreol Crt",-79.3956134,43.6398746
"Fort York Blvd / Garrison Rd",-79.4069885,43.6379814
"Front St / Bay St",-79.379161,43.6459461
"Front St / Yonge St",-79.3769334,43.6468244
"Front St / Cherry St",-79.3580917,43.6526324
"Gerrard St / River St",-79.3592313,43.6636944
"Glen Edyth Dr / Davenport Rd",-79.405556,43.677778
"Hanna Ave / Liberty St",-79.4195451,43.6385083
"Harbord St / Clinton St",-79.4158311,43.6602673
"Hayter St / Laplante Ave",-79.3859663,43.6590542
"Howard St / Sherbourne St",-79.3764212,43.6712495
"HTO Park",-79.3884382,43.6375849
"Jarvis St / Dundas St",-79.3745576,43.6570799
"Jimmie Simpson Park",-79.3447934,43.6612075
"Kendal Ave / Bernard Ave",-79.4084322,43.6719294
